Year,Region,Indicator,Characteristic,Age,Cases,Rate,RSE,LowerConfidenceInterval,UpperConfidenceInterval,Denominator
2002,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander mother,0,5,10,42.4,1.7,18.3,50
2002,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander mother,0,212,5.4,6.7,4.7,6.1,"3,947"
2003,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander mother,0,5,8.6,42.8,1.4,15.8,58
2003,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander mother,0,183,4.6,7.2,3.9,5.2,"3,997"
2004,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander mother,0,10,17.9,28.7,7.8,27.9,56
2004,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander mother,0,250,6.2,6.1,5.5,7,"4,016"
2005,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander mother,0,12,15.2,26.6,7.3,23.1,79
2005,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander mother,0,245,5.9,6.2,5.2,6.6,"4,167"
2006,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander mother,0,8,10.8,33.4,3.7,17.9,74
2006,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander mother,0,256,5.8,6.1,5.1,6.4,"4,450"
2007,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander mother,0,8,11.8,33.2,4.1,19.4,68
2007,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander mother,0,251,5.6,6.1,4.9,6.2,"4,518"
2008,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander mother,0,10,13.5,29.4,5.7,21.3,74
2008,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander mother,0,224,4.8,6.5,4.2,5.4,"4,657"
2009,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander mother,0,9,13.8,30.9,5.4,22.2,65
2009,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander mother,0,230,4.8,6.4,4.2,5.4,"4,777"
2010,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander mother,0,8,13.6,32.9,4.8,22.3,59
2010,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander mother,0,258,5.3,6.1,4.7,5.9,"4,873"
2011,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander mother,0,12,16.7,26.4,8.1,25.3,72
2011,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander mother,0,294,6.2,5.6,5.5,6.9,"4,736"
2012,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander mother,0,6,6.5,39.5,1.5,11.6,92
2012,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander mother,0,302,5.9,5.6,5.2,6.5,"5,123"
2013,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander mother,0,14,15.1,24.6,7.8,22.3,93
2013,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander mother,0,304,5.8,5.6,5.2,6.4,"5,232"
2014,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander mother,0,10,10.5,29.9,4.4,16.7,95
2014,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander mother,0,337,6.3,5.3,5.6,6.9,"5,364"
2015,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander mother,0,20,18.3,20.2,11.1,25.6,109
2015,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander mother,0,328,6.1,5.4,5.4,6.7,"5,388"
2016,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander mother,0,5,5.2,43.6,0.8,9.6,97
2016,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander mother,0,330,6,5.3,5.3,6.6,"5,532"
2017,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander mother,0,14,13.9,24.8,7.1,20.6,101
2017,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander mother,0,344,6.6,5.2,5.9,7.2,"5,232"
2018,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander mother,0,14,11.6,25.1,5.9,17.3,121
2018,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander mother,0,302,6.1,5.6,5.4,6.7,"4,988"
2019,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander mother,0,15,12.6,24.1,6.6,18.6,119
2019,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander mother,0,304,5.8,5.6,5.2,6.4,"5,245"
2020,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander mother,0,9,8.1,32,3,13.2,111
2020,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander mother,0,301,5.9,5.6,5.3,6.6,"5,060"
2001,ACT,Liveborn babies by APGAR at 5 minutes,Less than 7,0,57,1.5,13.1,1.1,1.9,"3,801"
2001,ACT,Liveborn babies by APGAR at 5 minutes,7 or more,0,"3,744",98.5,0.2,98.1,98.9,"3,801"
2002,ACT,Liveborn babies by APGAR at 5 minutes,Less than 7,0,58,1.4,13,1.1,1.8,"4,021"
2002,ACT,Liveborn babies by APGAR at 5 minutes,7 or more,0,"3,963",98.6,0.2,98.2,98.9,"4,021"
2003,ACT,Liveborn babies by APGAR at 5 minutes,Less than 7,0,62,1.5,12.6,1.2,1.9,"4,065"
2003,ACT,Liveborn babies by APGAR at 5 minutes,7 or more,0,"4,003",98.5,0.2,98.1,98.8,"4,065"
2004,ACT,Liveborn babies by APGAR at 5 minutes,Less than 7,0,60,1.5,12.8,1.1,1.8,"4,076"
2004,ACT,Liveborn babies by APGAR at 5 minutes,7 or more,0,"4,016",98.5,0.2,98.2,98.9,"4,076"
2005,ACT,Liveborn babies by APGAR at 5 minutes,Less than 7,0,39,0.9,15.9,0.6,1.2,"4,240"
2005,ACT,Liveborn babies by APGAR at 5 minutes,7 or more,0,"4,201",99.1,0.1,98.8,99.4,"4,240"
2006,ACT,Liveborn babies by APGAR at 5 minutes,Less than 7,0,64,1.4,12.4,1.1,1.8,"4,540"
2006,ACT,Liveborn babies by APGAR at 5 minutes,7 or more,0,"4,476",98.6,0.2,98.2,98.9,"4,540"
2007,ACT,Liveborn babies by APGAR at 5 minutes,Less than 7,0,71,1.5,11.8,1.2,1.9,"4,587"
2007,ACT,Liveborn babies by APGAR at 5 minutes,7 or more,0,"4,516",98.5,0.2,98.1,98.8,"4,587"
2008,ACT,Liveborn babies by APGAR at 5 minutes,Less than 7,0,98,2.1,10,1.7,2.5,"4,749"
2008,ACT,Liveborn babies by APGAR at 5 minutes,7 or more,0,"4,651",97.9,0.2,97.5,98.3,"4,749"
2009,ACT,Liveborn babies by APGAR at 5 minutes,Less than 7,0,84,1.7,10.8,1.4,2.1,"4,859"
2009,ACT,Liveborn babies by APGAR at 5 minutes,7 or more,0,"4,775",98.3,0.2,97.9,98.6,"4,859"
2010,ACT,Liveborn babies by APGAR at 5 minutes,Less than 7,0,72,1.5,11.7,1.1,1.8,"4,928"
2010,ACT,Liveborn babies by APGAR at 5 minutes,7 or more,0,"4,856",98.5,0.2,98.2,98.9,"4,928"
2011,ACT,Liveborn babies by APGAR at 5 minutes,Less than 7,0,105,2.2,9.7,1.8,2.6,"4,806"
2011,ACT,Liveborn babies by APGAR at 5 minutes,7 or more,0,"4,701",97.8,0.2,97.4,98.2,"4,806"
2012,ACT,Liveborn babies by APGAR at 5 minutes,Less than 7,0,122,2.3,8.9,1.9,2.8,"5,209"
2012,ACT,Liveborn babies by APGAR at 5 minutes,7 or more,0,"5,087",97.7,0.2,97.2,98.1,"5,209"
2013,ACT,Liveborn babies by APGAR at 5 minutes,Less than 7,0,105,2,9.7,1.6,2.4,"5,322"
2013,ACT,Liveborn babies by APGAR at 5 minutes,7 or more,0,"5,217",98,0.2,97.6,98.4,"5,322"
2014,ACT,Liveborn babies by APGAR at 5 minutes,Less than 7,0,76,1.4,11.4,1.1,1.7,"5,476"
2014,ACT,Liveborn babies by APGAR at 5 minutes,7 or more,0,"5,400",98.6,0.2,98.3,98.9,"5,476"
2015,ACT,Liveborn babies by APGAR at 5 minutes,Less than 7,0,103,1.9,9.8,1.5,2.2,"5,490"
2015,ACT,Liveborn babies by APGAR at 5 minutes,7 or more,0,"5,387",98.1,0.2,97.8,98.5,"5,490"
2016,ACT,Liveborn babies by APGAR at 5 minutes,Less than 7,0,113,2,9.3,1.6,2.4,"5,641"
2016,ACT,Liveborn babies by APGAR at 5 minutes,7 or more,0,"5,528",98,0.2,97.6,98.4,"5,641"
2017,ACT,Liveborn babies by APGAR at 5 minutes,Less than 7,0,103,1.9,9.8,1.6,2.3,"5,334"
2017,ACT,Liveborn babies by APGAR at 5 minutes,7 or more,0,"5,231",98.1,0.2,97.7,98.4,"5,334"
2018,ACT,Liveborn babies by APGAR at 5 minutes,Less than 7,0,109,2.1,9.5,1.7,2.5,"5,099"
2018,ACT,Liveborn babies by APGAR at 5 minutes,7 or more,0,"4,990",97.9,0.2,97.5,98.3,"5,099"
2019,ACT,Liveborn babies by APGAR at 5 minutes,Less than 7,0,121,2.3,9,1.9,2.7,"5,355"
2019,ACT,Liveborn babies by APGAR at 5 minutes,7 or more,0,"5,234",97.7,0.2,97.3,98.1,"5,355"
2020,ACT,Liveborn babies by APGAR at 5 minutes,Less than 7,0,96,1.9,10.1,1.5,2.2,"5,164"
2020,ACT,Liveborn babies by APGAR at 5 minutes,7 or more,0,"5,068",98.1,0.2,97.8,98.5,"5,164"
2001,ACT,Babies by birthweight,Less than 2500g,0,239,6.2,6.3,5.4,6.9,"3,885"
2001,ACT,Babies by birthweight,2500 to 2999g,0,548,14.1,4,13,15.2,"3,885"
2001,ACT,Babies by birthweight,3000 to 3499g,0,"1,307",33.6,2.3,32.2,35.1,"3,885"
2001,ACT,Babies by birthweight,3500 to 3999g,0,"1,299",33.4,2.3,32,34.9,"3,885"
2001,ACT,Babies by birthweight,4000g or more,0,492,12.7,4.2,11.6,13.7,"3,885"
2002,ACT,Babies by birthweight,Less than 2500g,0,237,5.9,6.3,5.1,6.6,"4,047"
2002,ACT,Babies by birthweight,2500 to 2999g,0,543,13.4,4,12.4,14.5,"4,047"
2002,ACT,Babies by birthweight,3000 to 3499g,0,"1,355",33.5,2.2,32,34.9,"4,047"
2002,ACT,Babies by birthweight,3500 to 3999g,0,"1,313",32.4,2.3,31,33.9,"4,047"
2002,ACT,Babies by birthweight,4000g or more,0,599,14.8,3.8,13.7,15.9,"4,047"
2003,ACT,Babies by birthweight,Less than 2500g,0,220,5.4,6.6,4.7,6,"4,110"
2003,ACT,Babies by birthweight,2500 to 2999g,0,577,14,3.9,13,15.1,"4,110"
2003,ACT,Babies by birthweight,3000 to 3499g,0,"1,450",35.3,2.1,33.8,36.7,"4,110"
2003,ACT,Babies by birthweight,3500 to 3999g,0,"1,268",30.9,2.3,29.4,32.3,"4,110"
2003,ACT,Babies by birthweight,4000g or more,0,595,14.5,3.8,13.4,15.6,"4,110"
2004,ACT,Babies by birthweight,Less than 2500g,0,284,6.9,5.7,6.1,7.7,"4,110"
2004,ACT,Babies by birthweight,2500 to 2999g,0,569,13.8,3.9,12.8,14.9,"4,110"
2004,ACT,Babies by birthweight,3000 to 3499g,0,"1,307",31.8,2.3,30.4,33.2,"4,110"
2004,ACT,Babies by birthweight,3500 to 3999g,0,"1,363",33.2,2.2,31.7,34.6,"4,110"
2004,ACT,Babies by birthweight,4000g or more,0,587,14.3,3.8,13.2,15.4,"4,110"
2005,ACT,Babies by birthweight,Less than 2500g,0,288,6.7,5.7,6,7.5,"4,282"
2005,ACT,Babies by birthweight,2500 to 2999g,0,604,14.1,3.8,13.1,15.2,"4,282"
2005,ACT,Babies by birthweight,3000 to 3499g,0,"1,531",35.8,2,34.3,37.2,"4,282"
2005,ACT,Babies by birthweight,3500 to 3999g,0,"1,313",30.7,2.3,29.3,32,"4,282"
2005,ACT,Babies by birthweight,4000g or more,0,546,12.8,4,11.8,13.8,"4,282"
2006,ACT,Babies by birthweight,Less than 2500g,0,291,6.4,5.7,5.6,7.1,"4,576"
2006,ACT,Babies by birthweight,2500 to 2999g,0,655,14.3,3.6,13.3,15.3,"4,576"
2006,ACT,Babies by birthweight,3000 to 3499g,0,"1,620",35.4,2,34,36.8,"4,576"
2006,ACT,Babies by birthweight,3500 to 3999g,0,"1,490",32.6,2.1,31.2,33.9,"4,576"
2006,ACT,Babies by birthweight,4000g or more,0,520,11.4,4.1,10.4,12.3,"4,576"
2007,ACT,Babies by birthweight,Less than 2500g,0,287,6.2,5.7,5.5,6.9,"4,622"
2007,ACT,Babies by birthweight,2500 to 2999g,0,664,14.4,3.6,13.4,15.4,"4,622"
2007,ACT,Babies by birthweight,3000 to 3499g,0,"1,634",35.4,2,34,36.7,"4,622"
2007,ACT,Babies by birthweight,3500 to 3999g,0,"1,436",31.1,2.2,29.7,32.4,"4,622"
2007,ACT,Babies by birthweight,4000g or more,0,601,13,3.8,12,14,"4,622"
2008,ACT,Babies by birthweight,Less than 2500g,0,268,5.6,5.9,4.9,6.2,"4,796"
2008,ACT,Babies by birthweight,2500 to 2999g,0,685,14.3,3.5,13.3,15.3,"4,796"
2008,ACT,Babies by birthweight,3000 to 3499g,0,"1,717",35.8,1.9,34.4,37.2,"4,796"
2008,ACT,Babies by birthweight,3500 to 3999g,0,"1,550",32.3,2.1,31,33.6,"4,796"
2008,ACT,Babies by birthweight,4000g or more,0,576,12,3.9,11.1,12.9,"4,796"
2009,ACT,Babies by birthweight,Less than 2500g,0,268,5.5,5.9,4.8,6.1,"4,894"
2009,ACT,Babies by birthweight,2500 to 2999g,0,705,14.4,3.5,13.4,15.4,"4,894"
2009,ACT,Babies by birthweight,3000 to 3499g,0,"1,695",34.6,2,33.3,36,"4,894"
2009,ACT,Babies by birthweight,3500 to 3999g,0,"1,593",32.6,2.1,31.2,33.9,"4,894"
2009,ACT,Babies by birthweight,4000g or more,0,633,12.9,3.7,12,13.9,"4,894"
2010,ACT,Babies by birthweight,Less than 2500g,0,299,6,5.6,5.4,6.7,"4,978"
2010,ACT,Babies by birthweight,2500 to 2999g,0,735,14.8,3.4,13.8,15.8,"4,978"
2010,ACT,Babies by birthweight,3000 to 3499g,0,"1,786",35.9,1.9,34.6,37.2,"4,978"
2010,ACT,Babies by birthweight,3500 to 3999g,0,"1,577",31.7,2.1,30.4,33,"4,978"
2010,ACT,Babies by birthweight,4000g or more,0,581,11.7,3.9,10.8,12.6,"4,978"
2011,ACT,Babies by birthweight,Less than 2500g,0,330,6.8,5.3,6.1,7.5,"4,836"
2011,ACT,Babies by birthweight,2500 to 2999g,0,713,14.7,3.5,13.7,15.7,"4,836"
2011,ACT,Babies by birthweight,3000 to 3499g,0,"1,696",35.1,2,33.7,36.4,"4,836"
2011,ACT,Babies by birthweight,3500 to 3999g,0,"1,521",31.5,2.1,30.1,32.8,"4,836"
2011,ACT,Babies by birthweight,4000g or more,0,576,11.9,3.9,11,12.8,"4,836"
2012,ACT,Babies by birthweight,Less than 2500g,0,344,6.5,5.2,5.9,7.2,"5,259"
2012,ACT,Babies by birthweight,2500 to 2999g,0,755,14.4,3.4,13.4,15.3,"5,259"
2012,ACT,Babies by birthweight,3000 to 3499g,0,"2,002",38.1,1.8,36.8,39.4,"5,259"
2012,ACT,Babies by birthweight,3500 to 3999g,0,"1,549",29.5,2.1,28.2,30.7,"5,259"
2012,ACT,Babies by birthweight,4000g or more,0,609,11.6,3.8,10.7,12.4,"5,259"
2013,ACT,Babies by birthweight,Less than 2500g,0,347,6.5,5.2,5.8,7.1,"5,360"
2013,ACT,Babies by birthweight,2500 to 2999g,0,845,15.8,3.2,14.8,16.7,"5,360"
2013,ACT,Babies by birthweight,3000 to 3499g,0,"1,961",36.6,1.8,35.3,37.9,"5,360"
2013,ACT,Babies by birthweight,3500 to 3999g,0,"1,634",30.5,2.1,29.2,31.7,"5,360"
2013,ACT,Babies by birthweight,4000g or more,0,573,10.7,3.9,9.9,11.5,"5,360"
2014,ACT,Babies by birthweight,Less than 2500g,0,390,7.1,4.9,6.4,7.7,"5,530"
2014,ACT,Babies by birthweight,2500 to 2999g,0,864,15.6,3.1,14.7,16.6,"5,530"
2014,ACT,Babies by birthweight,3000 to 3499g,0,"2,083",37.7,1.7,36.4,38.9,"5,530"
2014,ACT,Babies by birthweight,3500 to 3999g,0,"1,574",28.5,2.1,27.3,29.6,"5,530"
2014,ACT,Babies by birthweight,4000g or more,0,619,11.2,3.8,10.4,12,"5,530"
2015,ACT,Babies by birthweight,Less than 2500g,0,373,6.7,5,6.1,7.4,"5,532"
2015,ACT,Babies by birthweight,2500 to 2999g,0,930,16.8,3,15.8,17.8,"5,532"
2015,ACT,Babies by birthweight,3000 to 3499g,0,"2,074",37.5,1.7,36.2,38.8,"5,532"
2015,ACT,Babies by birthweight,3500 to 3999g,0,"1,636",29.6,2.1,28.4,30.8,"5,532"
2015,ACT,Babies by birthweight,4000g or more,0,519,9.4,4.2,8.6,10.2,"5,532"
2016,ACT,Babies by birthweight,Less than 2500g,0,369,6.5,5,5.8,7.1,"5,684"
2016,ACT,Babies by birthweight,2500 to 2999g,0,963,16.9,2.9,16,17.9,"5,684"
2016,ACT,Babies by birthweight,3000 to 3499g,0,"2,149",37.8,1.7,36.6,39.1,"5,684"
2016,ACT,Babies by birthweight,3500 to 3999g,0,"1,659",29.2,2.1,28,30.4,"5,684"
2016,ACT,Babies by birthweight,4000g or more,0,544,9.6,4.1,8.8,10.3,"5,684"
2017,ACT,Babies by birthweight,Less than 2500g,0,398,7.4,4.8,6.7,8.1,"5,386"
2017,ACT,Babies by birthweight,2500 to 2999g,0,894,16.6,3.1,15.6,17.6,"5,386"
2017,ACT,Babies by birthweight,3000 to 3499g,0,"2,003",37.2,1.8,35.9,38.5,"5,386"
2017,ACT,Babies by birthweight,3500 to 3999g,0,"1,589",29.5,2.1,28.3,30.7,"5,386"
2017,ACT,Babies by birthweight,4000g or more,0,502,9.3,4.3,8.5,10.1,"5,386"
2018,ACT,Babies by birthweight,Less than 2500g,0,347,6.7,5.2,6.1,7.4,"5,148"
2018,ACT,Babies by birthweight,2500 to 2999g,0,900,17.5,3,16.4,18.5,"5,148"
2018,ACT,Babies by birthweight,3000 to 3499g,0,"1,918",37.3,1.8,35.9,38.6,"5,148"
2018,ACT,Babies by birthweight,3500 to 3999g,0,"1,512",29.4,2.2,28.1,30.6,"5,148"
2018,ACT,Babies by birthweight,4000g or more,0,471,9.1,4.4,8.4,9.9,"5,148"
2019,ACT,Babies by birthweight,Less than 2500g,0,345,6.4,5.2,5.7,7,"5,399"
2019,ACT,Babies by birthweight,2500 to 2999g,0,907,16.8,3,15.8,17.8,"5,399"
2019,ACT,Babies by birthweight,3000 to 3499g,0,"2,071",38.4,1.7,37.1,39.7,"5,399"
2019,ACT,Babies by birthweight,3500 to 3999g,0,"1,596",29.6,2.1,28.3,30.8,"5,399"
2019,ACT,Babies by birthweight,4000g or more,0,480,8.9,4.4,8.1,9.6,"5,399"
2020,ACT,Babies by birthweight,Less than 2500g,0,337,6.5,5.3,5.8,7.2,"5,203"
2020,ACT,Babies by birthweight,2500 to 2999g,0,817,15.7,3.2,14.7,16.7,"5,203"
2020,ACT,Babies by birthweight,3000 to 3499g,0,"1,959",37.7,1.8,36.3,39,"5,203"
2020,ACT,Babies by birthweight,3500 to 3999g,0,"1,569",30.2,2.1,28.9,31.4,"5,203"
2020,ACT,Babies by birthweight,4000g or more,0,521,10,4.2,9.2,10.8,"5,203"
2001,ACT,Babies by gestational age,Less than 37 weeks,0,301,7.7,5.5,6.9,8.6,"3,887"
2001,ACT,Babies by gestational age,37 to 41 weeks,0,"3,524",90.7,0.5,89.8,91.6,"3,887"
2001,ACT,Babies by gestational age,42 or more weeks,0,62,1.6,12.6,1.2,2,"3,887"
2002,ACT,Babies by gestational age,Less than 37 weeks,0,288,7.1,5.7,6.3,7.9,"4,047"
2002,ACT,Babies by gestational age,37 to 41 weeks,0,"3,648",90.1,0.5,89.2,91.1,"4,047"
2002,ACT,Babies by gestational age,42 or more weeks,0,111,2.7,9.4,2.2,3.2,"4,047"
2003,ACT,Babies by gestational age,Less than 37 weeks,0,277,6.7,5.8,6,7.5,"4,111"
2003,ACT,Babies by gestational age,37 to 41 weeks,0,"3,764",91.6,0.5,90.7,92.4,"4,111"
2003,ACT,Babies by gestational age,42 or more weeks,0,70,1.7,11.9,1.3,2.1,"4,111"
2004,ACT,Babies by gestational age,Less than 37 weeks,0,330,8,5.3,7.2,8.9,"4,109"
2004,ACT,Babies by gestational age,37 to 41 weeks,0,"3,708",90.2,0.5,89.3,91.2,"4,109"
2004,ACT,Babies by gestational age,42 or more weeks,0,71,1.7,11.8,1.3,2.1,"4,109"
2005,ACT,Babies by gestational age,Less than 37 weeks,0,313,7.3,5.4,6.5,8.1,"4,282"
2005,ACT,Babies by gestational age,37 to 41 weeks,0,"3,886",90.8,0.5,89.9,91.6,"4,282"
2005,ACT,Babies by gestational age,42 or more weeks,0,83,1.9,10.9,1.5,2.4,"4,282"
2006,ACT,Babies by gestational age,Less than 37 weeks,0,350,7.6,5.1,6.9,8.4,"4,576"
2006,ACT,Babies by gestational age,37 to 41 weeks,0,"4,157",90.8,0.5,90,91.7,"4,576"
2006,ACT,Babies by gestational age,42 or more weeks,0,69,1.5,11.9,1.2,1.9,"4,576"
2007,ACT,Babies by gestational age,Less than 37 weeks,0,311,6.7,5.5,6,7.5,"4,619"
2007,ACT,Babies by gestational age,37 to 41 weeks,0,"4,244",91.9,0.4,91.1,92.7,"4,619"
2007,ACT,Babies by gestational age,42 or more weeks,0,64,1.4,12.4,1,1.7,"4,619"
2008,ACT,Babies by gestational age,Less than 37 weeks,0,330,6.9,5.3,6.2,7.6,"4,796"
2008,ACT,Babies by gestational age,37 to 41 weeks,0,"4,382",91.4,0.4,90.6,92.2,"4,796"
2008,ACT,Babies by gestational age,42 or more weeks,0,84,1.8,10.8,1.4,2.1,"4,796"
2009,ACT,Babies by gestational age,Less than 37 weeks,0,340,6.9,5.2,6.2,7.7,"4,893"
2009,ACT,Babies by gestational age,37 to 41 weeks,0,"4,467",91.3,0.4,90.5,92.1,"4,893"
2009,ACT,Babies by gestational age,42 or more weeks,0,86,1.8,10.7,1.4,2.1,"4,893"
2010,ACT,Babies by gestational age,Less than 37 weeks,0,347,7,5.2,6.3,7.7,"4,978"
2010,ACT,Babies by gestational age,37 to 41 weeks,0,"4,550",91.4,0.4,90.6,92.2,"4,978"
2010,ACT,Babies by gestational age,42 or more weeks,0,81,1.6,11,1.3,2,"4,978"
2011,ACT,Babies by gestational age,Less than 37 weeks,0,362,7.5,5.1,6.8,8.2,"4,835"
2011,ACT,Babies by gestational age,37 to 41 weeks,0,"4,409",91.2,0.4,90.4,92,"4,835"
2011,ACT,Babies by gestational age,42 or more weeks,0,64,1.3,12.4,1,1.6,"4,835"
2012,ACT,Babies by gestational age,Less than 37 weeks,0,406,7.7,4.8,7,8.4,"5,259"
2012,ACT,Babies by gestational age,37 to 41 weeks,0,"4,810",91.5,0.4,90.7,92.2,"5,259"
2012,ACT,Babies by gestational age,42 or more weeks,0,43,0.8,15.2,0.6,1.1,"5,259"
2013,ACT,Babies by gestational age,Less than 37 weeks,0,429,8,4.6,7.3,8.7,"5,360"
